file_name,QuestionText,answer,confidence
20110121_cranes.wind.wav,What species of animal can be heard?,seagull,Yes
20110121_cranes.wind.wav,What species of animal can be heard?,bird,Yes
20110121_cranes.wind.wav,What species of animal can be heard?,bird,Yes
EXT Steel works far.wav,What is being placed on the platform towards the end of the clip?,board,Maybe
EXT Steel works far.wav,What is being placed on the platform towards the end of the clip?,wood,Yes
EXT Steel works far.wav,What is being placed on the platform towards the end of the clip?,wood,Yes
EXT Steel works far.wav,What type of material is the dropped item made of?,wood,Yes
EXT Steel works far.wav,What type of material is the dropped item made of?,wood,Maybe
EXT Steel works far.wav,What type of material is the dropped item made of?,wood,Maybe
Walking in Circles around fountain.wav,what is causing the rasping sound?,person,Maybe
Walking in Circles around fountain.wav,what is causing the rasping sound?,wind,Yes
Walking in Circles around fountain.wav,what is causing the rasping sound?,wind,Yes
Walking in Circles around fountain.wav,What is running nearby?,river,Maybe
Walking in Circles around fountain.wav,What is running nearby?,water,Yes
Walking in Circles around fountain.wav,What is running nearby?,wind,No
20070819.fjord.beach.00.wav,What is crashing against the beach?,waves,Maybe
20070819.fjord.beach.00.wav,What is crashing against the beach?,waves,Yes
20070819.fjord.beach.00.wav,What is crashing against the beach?,waves,Yes
20070819.fjord.beach.00.wav,What is making the sound that can be heard in this clip?,waves,Yes
20070819.fjord.beach.00.wav,What is making the sound that can be heard in this clip?,rain,Maybe
20070819.fjord.beach.00.wav,What is making the sound that can be heard in this clip?,waves,Yes
west ham bubbles.wav,What is heard briefly towards the end of the song?,prayer,Yes
west ham bubbles.wav,What is heard briefly towards the end of the song?,clapping,Yes
west ham bubbles.wav,What is heard briefly towards the end of the song?,singing,Yes
west ham bubbles.wav,What mood is being portrayed from the mammals?,happy,Yes
west ham bubbles.wav,What mood is being portrayed from the mammals?,excitement,Yes
west ham bubbles.wav,What mood is being portrayed from the mammals?,happy,Yes
sants_train.wav,What is the noise coming from?,birds,Yes
sants_train.wav,What is the noise coming from?,train,No
sants_train.wav,What is the noise coming from?,factory,Maybe
Rainstorm.wav,What is causing the blowing sound?,wind,Yes
Rainstorm.wav,What is causing the blowing sound?,rain,Yes
Rainstorm.wav,What is causing the blowing sound?,wind,Yes
Rainstorm.wav,What natural element can be heard besides waves?,trees,Yes
Rainstorm.wav,What natural element can be heard besides waves?,wind,Yes
Rainstorm.wav,What natural element can be heard besides waves?,rain,Yes
31 hn_door4.wav,What is making the creaking noise?,door,Yes
31 hn_door4.wav,What is making the creaking noise?,door,Yes
31 hn_door4.wav,What is making the creaking noise?,window,Yes
jf Ingenioius Experiment.wav,What is the name of the object being used to complete the action that is heard?,glass,Maybe
jf Ingenioius Experiment.wav,What is the name of the object being used to complete the action that is heard?,glass,No
jf Ingenioius Experiment.wav,What is the name of the object being used to complete the action that is heard?,glass,Yes
SamyeLing_Drain121102.wav,What is falling?,water,Yes
SamyeLing_Drain121102.wav,What is falling?,water,Yes
SamyeLing_Drain121102.wav,What is falling?,water,Yes
SamyeLing_Drain121102.wav,What is making the most noise?,water,Yes
SamyeLing_Drain121102.wav,What is making the most noise?,water,Maybe
SamyeLing_Drain121102.wav,What is making the most noise?,water,Yes
DC Metro - Interior 1.wav,What is making that constant sound?,aeroplane,Maybe
DC Metro - Interior 1.wav,What is making that constant sound?,match,Yes
DC Metro - Interior 1.wav,What is making that constant sound?,train,No
DC Metro - Interior 1.wav,What is moving?,car,Yes
DC Metro - Interior 1.wav,What is moving?,train,Yes
DC Metro - Interior 1.wav,What is moving?,airplane,Yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What color are the animals heard here?,unknown,Yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What color are the animals heard here?,white,Yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What color are the animals heard here?,unknown,Yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What kind of animal is this?,chicken,Maybe
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What kind of animal is this?,duck,Yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What kind of animal is this?,rooster,Yes
Teddington weir.wav,What animal is barking?,dog,Yes
Teddington weir.wav,What animal is barking?,hen,Yes
Teddington weir.wav,What animal is barking?,geese,Maybe
Train Horn.wav,What sound can be heard in the first half of the clip?,train,Yes
Train Horn.wav,What sound can be heard in the first half of the clip?,horn,Yes
Train Horn.wav,What sound can be heard in the first half of the clip?,horn,Yes
Train Horn.wav,What type of train is this ?,fast,Maybe
Train Horn.wav,What type of train is this ?,fast,Yes
Train Horn.wav,What type of train is this ?,freight,Maybe
