file_name,QuestionText,answer,confidence
AmbianceBackyard_Quiet_bip.wav,How many birds are squawking?,three,Maybe
AmbianceBackyard_Quiet_bip.wav,How many birds are squawking?,three,Maybe
AmbianceBackyard_Quiet_bip.wav,How many birds are squawking?,two,Maybe
AmbianceBackyard_Quiet_bip.wav,How many cars honk their horn?,zero,Yes
AmbianceBackyard_Quiet_bip.wav,How many cars honk their horn?,one,Yes
AmbianceBackyard_Quiet_bip.wav,How many cars honk their horn?,one,Yes
20110121_cranes.wind.wav,How many birds are making noise?,two,Maybe
20110121_cranes.wind.wav,How many birds are making noise?,two,Maybe
20110121_cranes.wind.wav,How many birds are making noise?,several,Yes
sants_train.wav,How many different sounds can be heard?,three,Maybe
sants_train.wav,How many different sounds can be heard?,two,Maybe
sants_train.wav,How many different sounds can be heard?,five,Maybe
31 hn_door4.wav,How many separate creaking noises were made?,five,Maybe
31 hn_door4.wav,How many separate creaking noises were made?,three,Yes
31 hn_door4.wav,How many separate creaking noises were made?,five,Maybe
kettle-watergong4.wav,How many times is the object struck?,nineteen,Yes
kettle-watergong4.wav,How many times is the object struck?,eleven,No
kettle-watergong4.wav,How many times is the object struck?,twenty,Yes
open and close umbrella.wav,How many times is the repetitive noise made?,four,Yes
open and close umbrella.wav,How many times is the repetitive noise made?,three,Yes
open and close umbrella.wav,How many times is the repetitive noise made?,six,Yes
SR001F.wav,how many people are talking?,three,Maybe
SR001F.wav,how many people are talking?,two,Maybe
SR001F.wav,how many people are talking?,three,Yes
SYnth_NoisesAV.wav,How many objects are making noise?,three,Maybe
SYnth_NoisesAV.wav,How many objects are making noise?,one,Yes
SYnth_NoisesAV.wav,How many objects are making noise?,one,Yes
San Francisco Traffic at Powell And O&#39;Farrell.wav,How many people are chatting in the background?,three,Maybe
San Francisco Traffic at Powell And O&#39;Farrell.wav,How many people are chatting in the background?,two,Maybe
San Francisco Traffic at Powell And O&#39;Farrell.wav,How many people are chatting in the background?,two,No
md4trk7.wav,how many times does the sound stop and start again?,zero,Maybe
md4trk7.wav,how many times does the sound stop and start again?,none,Maybe
md4trk7.wav,how many times does the sound stop and start again?,zero,Yes
Steady Rain.wav,How is the weather?,raining,Yes
Steady Rain.wav,How is the weather?,rainy,Yes
Steady Rain.wav,How is the weather?,rainy,Yes
La cuina del institut.wav,How many different voices can be heard?,two,Maybe
La cuina del institut.wav,How many different voices can be heard?,two,Yes
La cuina del institut.wav,How many different voices can be heard?,one,Yes
Newark airport outside.wav,How many times are rollers heard?,none,Yes
Newark airport outside.wav,How many times are rollers heard?,five,Yes
Newark airport outside.wav,How many times are rollers heard?,nine,Maybe
"Gibraltar Mountain (apes, birds).wav",How many voices are heard?,three,Maybe
"Gibraltar Mountain (apes, birds).wav",How many voices are heard?,three,No
"Gibraltar Mountain (apes, birds).wav",How many voices are heard?,four,Yes
footstep on wood foley.wav,How many steps did the person step on?,five,Maybe
footstep on wood foley.wav,How many steps did the person step on?,twentyseven,Maybe
footstep on wood foley.wav,How many steps did the person step on?,twentysix,No
inside a japanese bus.wav,How many ticking noises occur?,five,Yes
inside a japanese bus.wav,How many ticking noises occur?,five,No
inside a japanese bus.wav,How many ticking noises occur?,six,Yes
Anchor Chain.wav,How quickly is the train moving ?,slowly,Maybe
Anchor Chain.wav,How quickly is the train moving ?,fast,Yes
Anchor Chain.wav,How quickly is the train moving ?,slowly,Maybe
Birds and ducks -Delta del Llobregat.wav,How many kinds of animals make noises?,three,Maybe
Birds and ducks -Delta del Llobregat.wav,How many kinds of animals make noises?,two,Maybe
Birds and ducks -Delta del Llobregat.wav,How many kinds of animals make noises?,one,Maybe
Sink and Water.wav,How many times does it squeak?,one,Maybe
Sink and Water.wav,How many times does it squeak?,two,Yes
Sink and Water.wav,How many times does it squeak?,one,No
heavy old keys working on door lock.wav,How many times is a chipping sound made by the object?,8times,Yes
heavy old keys working on door lock.wav,How many times is a chipping sound made by the object?,air,Yes
heavy old keys working on door lock.wav,How many times is a chipping sound made by the object?,fourteen,Yes
Rain hitting window.wav,How many different noises apart from the main one can be heard in the clip?,two,Maybe
Rain hitting window.wav,How many different noises apart from the main one can be heard in the clip?,three,Maybe
Rain hitting window.wav,How many different noises apart from the main one can be heard in the clip?,zero,Maybe
Glass bag drops.wav,How many times does the glass shatter?,six,Yes
Glass bag drops.wav,How many times does the glass shatter?,seven,Yes
Glass bag drops.wav,How many times does the glass shatter?,six,Yes
